Time,BAC,BDT,CLIFTON_COURT,FRK_FRANKSTRACT,GLCGS,GLE,MDM,MHO,MSD,MTB,OLD,ORCCF,PPT,RINDG,SJG,UNI,VIC,VNI,WDCUT
17Mar2004,3.952,1.260,8.362,3.246,3.524,1.907,8.697,24.675,0.802,41.014,5.967,6.443,3.530,8.558,2.281,1.282,10.189,5.196,4.363
18Mar2004,3.909,1.285,8.155,3.195,3.661,1.916,8.495,23.467,0.791,40.831,5.487,6.141,3.502,7.751,2.489,1.315,9.843,5.432,4.359
19Mar2004,3.887,1.193,7.961,3.160,3.359,1.715,8.328,16.951,0.651,44.037,4.830,5.700,3.611,6.728,2.283,1.141,10.425,5.713,4.383
20Mar2004,3.872,0.913,7.802,3.138,2.960,1.429,8.254,12.058,0.556,46.746,4.354,5.362,3.782,5.436,1.628,0.967,11.198,5.943,4.388
21Mar2004,3.837,0.841,7.714,3.130,2.772,1.351,8.172,11.011,0.556,42.473,3.993,5.420,3.889,4.850,1.392,0.938,11.402,6.210,4.358
22Mar2004,3.815,0.818,7.614,3.132,2.784,1.369,8.020,11.514,0.504,37.327,3.834,5.393,3.991,4.595,1.363,0.915,11.099,6.464,4.332
23Mar2004,3.839,0.768,7.513,3.139,2.984,1.467,7.847,11.627,0.498,34.298,3.956,5.602,4.161,4.257,1.349,0.912,10.867,6.501,4.361
24Mar2004,3.872,0.792,7.566,3.154,3.043,1.516,7.725,14.469,0.526,33.242,4.511,5.630,4.339,3.963,1.443,0.963,10.281,6.491,4.373
25Mar2004,3.899,0.637,7.576,3.177,3.064,1.596,7.661,17.404,0.543,33.034,4.969,6.116,4.274,3.801,1.390,0.991,9.622,6.444,4.285
26Mar2004,4.044,0.960,7.411,3.199,2.756,1.648,7.612,23.156,0.441,33.805,4.829,5.786,4.256,3.969,1.657,0.982,9.439,6.574,4.282
27Mar2004,4.092,1.181,7.275,3.231,2.766,1.669,7.681,30.738,0.480,34.388,5.209,5.770,4.262,4.219,2.379,0.929,9.447,6.522,4.397
28Mar2004,4.136,1.367,7.237,3.271,2.509,1.800,7.857,37.552,0.739,34.158,5.434,5.709,4.204,4.560,2.792,1.137,9.335,6.940,4.437
29Mar2004,4.152,1.693,7.267,3.317,2.578,2.056,7.895,47.104,0.947,30.476,5.685,5.793,4.047,4.879,3.153,1.436,8.977,7.884,4.450
30Mar2004,4.190,1.789,7.321,3.370,3.297,2.194,7.763,49.681,0.989,29.093,5.455,5.890,4.063,5.252,3.557,1.546,8.985,8.532,4.496
31Mar2004,4.247,1.606,7.396,3.426,3.512,2.267,7.714,38.097,0.769,34.620,5.417,6.268,4.302,5.383,3.422,1.480,9.332,8.800,4.572
01Apr2004,4.186,1.394,7.440,3.478,3.751,1.842,7.758,31.766,0.909,37.814,5.846,6.505,4.396,5.444,3.093,1.170,8.701,8.855,4.551
02Apr2004,4.147,1.546,7.433,3.515,3.336,1.768,7.743,29.904,1.055,34.735,4.750,6.144,4.359,5.686,3.137,1.456,8.570,8.666,4.490
03Apr2004,4.180,1.643,7.397,3.537,3.436,1.737,7.667,21.445,1.043,34.903,4.104,5.729,4.384,5.936,2.986,1.429,8.666,8.471,4.525
04Apr2004,4.217,1.487,7.393,3.555,3.536,1.677,7.683,14.206,0.855,39.884,3.893,5.583,4.547,5.943,2.695,1.303,8.843,8.267,4.604
05Apr2004,4.244,1.224,7.434,3.567,2.896,1.413,7.724,13.604,0.799,42.908,3.747,5.589,4.657,5.811,2.354,1.134,9.073,8.151,4.636
06Apr2004,4.238,1.204,7.448,3.572,2.766,1.408,7.756,14.692,0.800,40.773,3.605,5.708,4.660,5.713,2.149,1.147,9.206,7.874,4.631
