Time,BAC,BDT,CLIFTON_COURT,FRK_FRANKSTRACT,GLCGS,GLE,MDM,MHO,MSD,MTB,OLD,ORCCF,PPT,RINDG,SJG,UNI,VIC,VNI,WDCUT
06Feb1990,0.669,6.346,1.562,0.427,0.709,0.202,2.564,0.136,0.0000,1.679,0.284,1.359,1.269,6.265,12.312,0.135,2.568,4.172,0.656
07Feb1990,0.685,5.539,1.591,0.436,0.559,0.254,2.537,0.092,0.0000,1.465,0.197,1.347,1.447,6.740,11.771,0.073,2.513,4.345,0.669
08Feb1990,0.708,5.283,1.601,0.457,0.643,0.095,2.526,0.068,0.0000,1.422,0.181,1.367,1.516,7.415,11.765,0.049,2.494,4.863,0.690
09Feb1990,0.738,5.141,1.606,0.481,0.562,0.106,2.528,0.054,0.0000,1.372,0.082,1.373,1.588,7.682,11.731,0.065,2.486,4.908,0.714
10Feb1990,0.763,4.502,1.612,0.507,0.479,0.071,2.577,0.044,0.0000,1.296,0.072,1.372,1.665,8.177,11.361,0.042,2.496,5.120,0.740
11Feb1990,0.775,4.305,1.622,0.528,0.460,0.035,2.651,0.042,0.0000,1.357,0.050,1.422,1.614,8.729,11.402,0.024,2.561,5.170,0.762
12Feb1990,0.769,4.644,1.647,0.536,0.499,0.032,2.753,0.051,0.0000,1.505,0.030,1.495,1.494,8.504,11.831,0.039,2.643,4.968,0.770
13Feb1990,0.749,4.553,1.681,0.536,0.429,0.047,2.863,0.056,0.0000,1.500,0.023,1.525,1.489,8.640,11.750,0.046,2.738,4.772,0.760
14Feb1990,0.731,3.935,1.720,0.537,0.369,0.035,2.944,0.051,0.0000,1.386,0.024,1.608,1.548,9.078,11.061,0.027,2.830,4.880,0.743
15Feb1990,0.716,3.617,1.758,0.536,0.364,0.025,3.007,0.053,0.0000,1.484,0.022,1.702,1.423,9.557,10.982,0.024,2.943,4.952,0.725
16Feb1990,0.685,5.674,1.800,0.509,0.744,0.025,3.008,0.136,0.0000,2.112,0.020,1.690,1.008,8.758,13.226,0.276,3.026,4.694,0.707
17Feb1990,0.664,5.699,1.840,0.480,0.578,0.267,3.063,0.099,0.0000,1.763,0.090,1.481,1.064,7.431,13.036,0.081,2.943,3.925,0.678
18Feb1990,0.647,4.865,1.852,0.464,0.575,0.114,3.019,0.024,0.0000,1.051,0.211,1.372,1.276,7.590,12.109,0.027,2.855,4.009,0.649
19Feb1990,0.654,3.212,1.855,0.479,0.372,0.049,2.858,0.007,0.0000,0.453,0.088,1.352,1.728,8.879,10.557,0.003,2.733,5.110,0.633
20Feb1990,0.750,1.473,1.827,0.540,0.421,0.011,2.795,0.002,0.0000,0.209,0.045,1.350,2.124,10.218,8.704,0.000,2.589,7.586,0.668
21Feb1990,0.923,0.615,1.783,0.619,0.337,0.004,2.855,0.001,0.0000,0.226,0.017,1.340,2.339,11.335,7.301,0.000,2.583,8.452,0.798
22Feb1990,1.090,0.231,1.773,0.688,0.371,0.002,2.985,0.000,0.0000,0.408,0.007,1.415,2.474,12.350,5.804,0.000,2.721,7.665,0.964
23Feb1990,1.176,0.108,1.814,0.740,0.489,0.001,3.205,0.000,0.0000,0.772,0.005,1.567,2.484,13.435,4.885,0.000,2.939,6.893,1.105
24Feb1990,1.203,0.072,1.908,0.774,0.541,0.001,3.470,0.001,0.0000,1.079,0.004,1.757,2.439,13.750,4.506,0.000,3.192,6.275,1.175
25Feb1990,1.196,0.073,2.031,0.794,0.595,0.000,3.762,0.002,0.0000,1.391,0.003,1.923,2.349,13.749,4.780,0.000,3.476,6.070,1.194
26Feb1990,1.160,0.098,2.170,0.802,0.726,0.000,4.022,0.006,0.0000,1.665,0.002,2.111,2.248,13.253,5.474,0.000,3.760,6.232,1.180
27Feb1990,1.116,0.134,2.315,0.801,0.629,0.000,4.200,0.015,0.0000,1.883,0.002,2.209,2.190,12.978,6.026,0.000,4.002,6.641,1.143
28Feb1990,1.081,0.187,2.447,0.795,0.766,0.000,4.303,0.027,0.0000,2.062,0.002,2.293,2.144,12.830,6.488,0.000,4.158,7.001,1.105
01Mar1990,1.058,0.319,2.546,0.781,0.689,0.000,4.341,0.057,0.0000,2.414,0.001,2.348,2.050,12.624,7.383,0.001,4.259,7.047,1.073
02Mar1990,1.047,0.548,2.615,0.760,0.956,0.001,4.336,0.124,0.0000,2.827,0.001,2.263,1.957,12.206,8.324,0.002,4.312,6.918,1.054
03Mar1990,1.047,0.726,2.659,0.735,0.669,0.002,4.320,0.185,0.0000,3.005,0.001,2.079,1.897,11.703,8.705,0.002,4.300,6.704,1.043
04Mar1990,1.043,0.595,2.682,0.713,0.675,0.003,4.237,0.230,0.0000,3.199,0.003,2.044,1.847,11.806,8.282,0.001,4.256,6.349,1.031
05Mar1990,1.049,0.345,2.683,0.703,0.682,0.001,4.133,0.244,0.0000,3.213,0.003,1.873,2.044,11.877,7.213,0.000,4.150,6.512,1.029
06Mar1990,1.060,0.046,2.655,0.733,0.590,0.000,4.109,0.152,0.0000,2.973,0.002,2.013,2.602,13.692,3.837,0.000,4.069,7.786,1.037
07Mar1990,1.179,0.017,2.613,0.821,0.912,0.000,4.061,0.200,0.0000,3.160,0.001,2.151,3.144,14.535,3.381,0.000,4.051,10.488,1.088
08Mar1990,1.349,0.002,2.600,0.946,0.248,0.000,4.126,0.154,0.0000,3.019,0.001,2.096,3.507,14.407,1.835,0.000,4.014,14.299,1.222
09Mar1990,1.543,0.000,2.612,1.071,0.499,0.000,4.332,0.135,0.0000,2.902,0.001,2.159,3.826,15.530,1.203,0.000,4.112,15.200,1.403
10Mar1990,1.691,0.000,2.676,1.167,0.675,0.000,4.570,0.126,0.0000,2.943,0.001,2.369,3.902,16.301,1.023,0.000,4.330,13.618,1.572
11Mar1990,1.765,0.000,2.799,1.230,0.546,0.000,4.957,0.102,0.0000,2.908,0.000,2.368,4.045,16.166,0.652,0.000,4.567,12.184,1.694
12Mar1990,1.799,0.000,2.945,1.293,0.483,0.000,5.447,0.070,0.0000,2.743,0.001,2.501,4.382,16.585,0.350,0.000,4.963,11.594,1.757
13Mar1990,1.844,0.000,3.129,1.374,0.394,0.000,5.901,0.047,0.0000,2.587,0.001,2.776,4.750,17.193,0.207,0.000,5.422,11.509,1.794
14Mar1990,1.955,0.000,3.358,1.470,0.536,0.000,6.402,0.051,0.0000,2.816,0.001,3.205,4.703,17.334,0.256,0.000,5.940,12.018,1.865
15Mar1990,2.109,0.000,3.614,1.537,0.478,0.000,6.948,0.062,0.0000,3.228,0.000,3.374,4.502,17.349,0.225,0.000,6.457,12.218,1.992
16Mar1990,2.218,0.000,3.914,1.547,0.622,0.000,7.384,0.104,0.0000,3.940,0.000,3.535,4.112,17.036,0.281,0.000,7.013,11.378,2.146
17Mar1990,2.220,0.000,4.232,1.514,0.656,0.000,7.617,0.171,0.0000,4.637,0.000,3.609,3.679,16.683,0.313,0.000,7.362,9.877,2.213
18Mar1990,2.153,0.000,4.491,1.462,0.545,0.000,7.646,0.287,0.0000,5.322,0.000,3.478,3.355,16.205,0.364,0.000,7.508,8.738,2.173
19Mar1990,2.069,0.000,4.662,1.413,0.315,0.000,7.566,0.385,0.0000,5.641,0.000,3.426,3.191,16.093,0.303,0.000,7.489,8.374,2.085
20Mar1990,1.992,0.000,4.733,1.372,0.467,0.000,7.459,0.390,0.0000,5.676,0.000,3.548,3.119,15.963,0.188,0.000,7.407,8.393,2.012
21Mar1990,1.912,0.000,4.733,1.329,0.848,0.000,7.328,0.478,0.0000,5.883,0.000,3.664,2.943,15.982,0.282,0.000,7.322,8.523,1.951
22Mar1990,1.824,0.000,4.690,1.283,1.076,0.000,7.154,0.642,0.0000,6.082,0.000,3.739,2.774,15.543,0.448,0.000,7.182,8.509,1.875
23Mar1990,1.747,0.000,4.616,1.250,0.745,0.000,6.979,0.627,0.0000,5.912,0.000,3.803,2.873,14.874,0.379,0.000,7.036,8.702,1.797
24Mar1990,1.688,0.000,4.525,1.235,0.938,0.000,6.829,0.656,0.0000,5.818,0.000,3.918,2.916,14.630,0.451,0.000,6.905,9.918,1.732
25Mar1990,1.632,0.000,4.434,1.225,1.076,0.000,6.594,0.716,0.0000,5.762,0.000,3.888,2.953,14.110,0.592,0.000,6.717,11.205,1.668
26Mar1990,1.603,0.000,4.337,1.221,0.976,0.000,6.422,0.692,0.0000,5.588,0.000,3.704,3.107,13.736,0.665,0.000,6.501,12.184,1.622
27Mar1990,1.593,0.000,4.222,1.215,1.166,0.000,6.298,0.833,0.0000,5.566,0.000,3.583,3.089,13.571,1.078,0.000,6.358,12.627,1.599
28Mar1990,1.575,0.003,4.116,1.186,1.276,0.000,6.151,1.148,0.0000,5.644,0.000,3.419,2.952,13.018,1.744,0.000,6.203,11.756,1.587
29Mar1990,1.557,0.009,4.022,1.144,1.378,0.000,6.090,1.149,0.0000,5.554,0.000,3.041,2.917,12.577,2.105,0.000,6.090,10.864,1.571
30Mar1990,1.546,0.023,3.956,1.104,1.164,0.000,6.012,1.164,0.0000,5.468,0.000,3.001,2.898,12.210,2.447,0.000,6.036,10.231,1.553
31Mar1990,1.548,0.036,3.910,1.070,1.266,0.000,5.926,1.206,0.0000,5.396,0.000,2.925,2.878,11.930,2.678,0.000,5.947,9.607,1.541
01Apr1990,1.564,0.056,3.861,1.048,1.269,0.000,5.861,1.411,0.0000,5.414,0.000,2.924,2.866,11.807,3.007,0.000,5.878,9.000,1.542
02Apr1990,1.580,0.063,3.802,1.041,1.325,0.000,5.831,1.643,0.0000,5.449,0.000,2.887,2.942,11.776,3.171,0.000,5.810,8.525,1.551
03Apr1990,1.564,0.059,3.765,1.045,1.112,0.000,5.823,1.838,0.0000,5.465,0.000,3.018,2.885,12.020,3.270,0.000,5.782,8.267,1.563
04Apr1990,1.531,0.114,3.729,1.042,1.375,0.000,5.822,2.530,0.0000,5.582,0.000,3.104,2.609,12.027,4.159,0.000,5.786,7.873,1.554
05Apr1990,1.474,0.178,3.684,1.032,1.170,0.002,5.807,3.594,0.0000,5.674,0.000,3.146,2.544,11.983,4.711,0.000,5.784,7.582,1.509
06Apr1990,1.417,0.258,3.630,1.023,1.439,0.038,5.778,3.954,0.0000,5.699,0.001,3.369,2.529,12.152,5.164,0.000,5.789,7.909,1.457
07Apr1990,1.365,0.340,3.620,1.016,1.472,0.075,5.683,4.078,0.0000,5.710,0.014,3.295,2.571,12.446,5.613,0.000,5.747,8.269,1.403
08Apr1990,1.342,0.375,3.610,1.015,1.282,0.097,5.611,4.130,0.0000,5.707,0.036,3.228,2.699,12.968,5.741,0.001,5.650,8.552,1.359
09Apr1990,1.341,0.436,3.573,1.022,1.154,0.111,5.595,4.145,0.0000,5.667,0.060,3.136,2.783,13.683,6.050,0.001,5.587,8.496,1.343
10Apr1990,1.352,0.625,3.529,1.025,1.415,0.112,5.585,4.130,0.0000,5.591,0.079,3.128,2.639,14.196,7.186,0.002,5.574,7.850,1.346
11Apr1990,1.354,0.853,3.506,1.015,1.495,0.106,5.591,4.125,0.0000,5.538,0.076,3.116,2.471,14.431,8.298,0.004,5.562,7.135,1.352
12Apr1990,1.345,1.342,3.497,0.993,1.577,0.093,5.568,4.038,0.0000,5.507,0.088,3.045,2.341,14.742,9.909,0.013,5.569,6.513,1.348
13Apr1990,1.335,2.130,3.494,0.966,1.808,0.079,5.462,3.930,0.0000,5.487,0.117,3.011,2.210,14.953,11.758,0.032,5.514,5.801,1.337
14Apr1990,1.315,3.687,3.478,0.934,2.043,0.067,5.290,3.924,0.0000,5.441,0.136,2.977,1.982,15.014,14.423,0.101,5.385,5.113,1.323
15Apr1990,1.314,6.176,3.445,0.895,2.258,0.083,5.092,3.998,0.0000,5.344,0.148,2.946,1.793,14.869,17.420,0.313,5.207,4.558,1.301
16Apr1990,1.290,8.107,3.404,0.863,1.844,0.193,4.868,3.929,0.0000,5.213,0.240,2.646,1.779,15.089,19.516,0.421,5.021,4.061,1.268
17Apr1990,1.243,8.327,3.347,0.846,1.292,0.412,4.690,3.899,0.0000,5.094,0.436,2.485,1.896,16.315,19.973,0.192,4.820,3.957,1.241
18Apr1990,1.206,8.318,3.267,0.843,1.334,0.311,4.560,3.781,0.0000,4.946,0.447,2.511,1.971,18.063,20.265,0.126,4.654,4.010,1.208
19Apr1990,1.176,8.477,3.165,0.849,1.398,0.219,4.465,3.624,0.0000,4.754,0.321,2.549,2.035,19.520,20.832,0.111,4.537,4.226,1.185
20Apr1990,1.167,8.593,3.058,0.863,1.155,0.231,4.439,3.586,0.0000,4.600,0.210,2.550,2.066,20.675,21.363,0.109,4.458,4.972,1.170
21Apr1990,1.164,9.232,2.969,0.874,1.137,0.253,4.459,3.476,0.0000,4.478,0.159,2.624,2.035,20.855,22.455,0.113,4.443,5.959,1.167
22Apr1990,1.151,9.947,2.910,0.873,1.238,0.274,4.431,3.361,0.0000,4.414,0.127,2.640,1.949,21.337,23.721,0.163,4.455,6.116,1.158
23Apr1990,1.114,10.055,2.873,0.855,1.175,0.274,4.376,3.376,0.0000,4.402,0.131,2.541,1.825,21.154,24.468,0.177,4.409,5.803,1.140
24Apr1990,1.072,8.736,2.845,0.827,1.343,0.154,4.334,2.887,0.0000,4.345,0.178,2.361,1.914,21.879,23.670,0.095,4.332,5.246,1.102
25Apr1990,1.067,6.610,2.803,0.808,1.393,0.125,4.265,2.823,0.0000,4.276,0.122,2.305,2.016,23.498,22.533,0.030,4.278,4.977,1.068
26Apr1990,1.075,5.539,2.773,0.790,1.327,0.048,4.204,2.820,0.0000,4.207,0.087,2.216,1.898,25.800,22.554,0.024,4.225,4.865,1.069
27Apr1990,1.090,5.352,2.743,0.770,1.338,0.037,4.244,2.764,0.0000,4.143,0.059,2.144,1.800,25.970,23.444,0.033,4.198,4.859,1.079
28Apr1990,1.113,5.152,2.718,0.759,1.426,0.037,4.311,2.658,0.0000,4.100,0.058,2.210,1.851,26.725,23.774,0.030,4.222,4.293,1.088
29Apr1990,1.175,4.951,2.702,0.757,1.712,0.026,4.160,2.584,0.0000,4.096,0.061,2.253,1.932,27.950,23.838,0.022,4.278,4.968,1.118
30Apr1990,1.187,2.837,2.706,0.773,1.479,0.023,4.043,2.347,0.0000,4.072,0.050,2.226,2.089,30.994,20.025,0.002,4.124,6.314,1.171
01May1990,1.199,1.081,2.701,0.798,1.746,0.014,4.052,2.244,0.0000,4.046,0.036,2.184,2.223,34.854,15.834,0.000,4.043,6.844,1.192
02May1990,1.216,0.244,2.696,0.824,1.602,0.005,4.088,2.210,0.0000,3.985,0.024,2.096,2.341,38.148,11.096,0.000,3.977,6.776,1.204
03May1990,1.229,0.020,2.688,0.851,1.392,0.002,4.108,1.994,0.0000,3.911,0.012,2.054,2.533,41.636,5.505,0.000,3.963,6.440,1.217
04May1990,1.249,0.001,2.673,0.881,1.428,0.001,4.145,1.880,0.0000,3.854,0.008,2.093,2.704,44.841,2.613,0.000,3.966,6.189,1.230
05May1990,1.286,0.000,2.659,0.911,1.514,0.001,4.186,1.896,0.0000,3.829,0.006,2.127,2.771,46.588,1.646,0.000,3.976,6.083,1.248
06May1990,1.325,0.000,2.623,0.937,1.423,0.001,4.249,1.798,0.0000,3.809,0.005,2.101,2.805,47.491,1.333,0.000,4.005,6.003,1.278
07May1990,1.403,0.000,2.602,0.960,1.296,0.001,4.281,1.603,0.0000,3.795,0.004,1.943,2.931,48.371,1.069,0.000,4.029,5.948,1.331
08May1990,1.463,0.000,2.597,0.985,1.421,0.001,4.353,1.514,0.0000,3.804,0.003,2.017,2.978,48.764,1.035,0.000,4.051,5.900,1.409
09May1990,1.517,0.000,2.593,1.009,1.572,0.000,4.458,1.313,0.0000,3.819,0.003,2.121,2.927,48.391,1.475,0.000,4.073,5.872,1.473
10May1990,1.584,0.000,2.598,1.036,1.384,0.000,4.558,1.135,0.0000,3.805,0.003,2.001,3.081,48.259,1.431,0.000,4.119,5.980,1.539
11May1990,1.676,0.000,2.596,1.072,1.478,0.000,4.663,1.028,0.0000,3.804,0.003,2.029,3.282,47.996,1.366,0.000,4.168,6.175,1.620
12May1990,1.746,0.000,2.576,1.121,1.552,0.000,4.840,0.962,0.0000,3.802,0.003,2.106,3.499,47.870,1.159,0.000,4.226,6.732,1.707
13May1990,1.810,0.000,2.553,1.178,1.663,0.000,5.089,1.046,0.0000,3.832,0.003,2.174,3.659,47.323,1.181,0.000,4.320,7.218,1.773
14May1990,1.885,0.000,2.541,1.234,1.781,0.000,5.394,1.053,0.0000,3.899,0.003,2.256,3.700,46.443,1.310,0.000,4.474,7.316,1.835
15May1990,1.957,0.000,2.534,1.295,1.629,0.000,5.658,0.941,0.0000,3.910,0.003,2.176,3.993,46.084,0.726,0.000,4.658,7.302,1.907
16May1990,1.933,0.000,2.567,1.353,1.494,0.000,6.149,1.181,0.0000,3.994,0.002,2.113,4.001,45.452,0.495,0.000,4.939,6.767,1.961
17May1990,2.001,0.000,2.628,1.410,1.631,0.000,6.757,1.625,0.0000,4.216,0.002,2.471,4.018,44.888,0.588,0.000,5.419,6.367,1.942
18May1990,2.024,0.000,2.686,1.464,1.809,0.000,7.553,2.043,0.0000,4.529,0.002,2.789,4.200,44.105,0.540,0.000,6.052,5.482,1.972
19May1990,2.055,0.000,2.743,1.508,2.311,0.001,8.351,2.437,0.0000,5.034,0.002,3.362,4.007,43.167,0.814,0.000,6.814,5.031,1.999
20May1990,2.105,0.000,2.796,1.533,2.460,0.006,8.843,2.554,0.0000,5.590,0.003,3.707,3.930,42.347,1.023,0.000,7.629,5.107,2.030
21May1990,2.182,0.000,2.852,1.547,2.727,0.014,9.126,2.629,0.0000,6.171,0.006,4.038,3.890,41.687,1.003,0.000,8.255,5.182,2.084
22May1990,2.294,0.000,2.947,1.541,3.230,0.021,9.321,2.902,0.0000,6.978,0.012,4.391,3.580,41.111,1.676,0.000,8.736,4.948,2.174
23May1990,2.429,0.002,3.056,1.521,3.627,0.018,9.170,3.033,0.0000,7.621,0.015,4.642,3.303,40.708,2.548,0.000,9.039,4.417,2.298
