Time,BAC,BDT,CLIFTON_COURT,FRK_FRANKSTRACT,GLCGS,GLE,MDM,MHO,MSD,MTB,OLD,ORCCF,PPT,RINDG,SJG,UNI,VIC,VNI,WDCUT
07Feb1990,77.078,0.321,72.118,75.585,19.895,0.072,76.506,5.754,0.000,51.533,0.014,59.246,85.197,40.760,2.310,0.002,75.113,86.971,75.962
08Feb1990,77.926,0.342,72.905,76.598,24.333,0.037,77.002,4.076,0.000,49.069,0.015,62.094,85.843,40.630,2.516,0.002,75.736,86.190,76.967
09Feb1990,78.830,0.352,73.738,77.578,23.375,0.030,77.580,3.065,0.000,46.684,0.012,62.713,86.343,41.161,2.667,0.003,76.282,85.913,77.839
10Feb1990,79.606,0.312,74.465,78.525,19.688,0.013,78.034,2.367,0.000,43.801,0.015,63.752,86.786,40.937,2.606,0.002,76.750,85.845,78.625
11Feb1990,80.405,0.323,75.227,79.443,19.552,0.008,78.528,2.119,0.000,44.689,0.011,65.490,87.349,40.831,2.812,0.001,77.316,85.859,79.470
12Feb1990,81.259,0.399,76.073,80.247,22.103,0.006,79.108,2.321,0.000,48.078,0.011,68.073,87.761,42.382,3.252,0.002,77.881,86.115,80.316
13Feb1990,81.931,0.417,76.816,80.903,18.431,0.007,79.577,2.382,0.000,47.146,0.014,68.308,87.907,42.756,3.331,0.003,78.223,86.421,81.040
14Feb1990,82.429,0.359,77.469,81.503,14.982,0.005,79.932,2.096,0.000,43.150,0.015,70.850,87.996,42.295,3.008,0.002,78.234,86.480,81.641
15Feb1990,82.933,0.351,78.120,82.042,14.802,0.004,80.317,2.052,0.000,44.570,0.011,74.531,88.486,42.262,3.121,0.002,79.272,86.633,82.255
16Feb1990,83.656,0.848,78.995,82.145,31.804,0.011,81.573,4.805,0.000,59.222,0.006,73.028,88.239,45.439,4.777,0.022,80.055,86.343,83.093
17Feb1990,83.937,0.909,79.589,82.035,23.642,0.034,80.956,3.444,0.000,49.593,0.015,62.450,87.935,48.230,4.770,0.007,79.101,86.613,83.427
18Feb1990,83.418,0.777,79.779,82.100,18.673,0.026,80.593,0.849,0.000,30.292,0.026,55.753,87.751,48.094,4.322,0.003,75.923,85.086,83.249
19Feb1990,83.301,0.462,79.427,82.372,11.482,0.021,80.393,0.241,0.000,13.211,0.012,56.700,87.534,44.397,3.486,0.000,74.219,82.741,82.887
20Feb1990,83.551,0.195,78.983,82.757,16.160,0.015,79.675,0.081,0.000,5.958,0.007,59.005,87.137,39.250,2.581,0.000,73.607,79.242,82.887
21Feb1990,83.895,0.081,78.545,83.155,14.795,0.008,78.965,0.030,0.000,6.497,0.004,60.607,87.016,35.039,2.058,0.000,73.792,77.526,83.318
22Feb1990,84.209,0.030,78.381,83.529,16.069,0.004,78.838,0.014,0.000,11.550,0.002,61.727,86.845,32.275,1.576,0.000,75.354,78.717,83.671
23Feb1990,84.450,0.014,78.268,83.886,19.877,0.001,78.864,0.015,0.000,21.204,0.001,64.290,86.921,30.697,1.392,0.000,76.955,80.467,83.985
24Feb1990,84.616,0.010,78.668,84.205,20.551,0.000,78.880,0.023,0.000,28.321,0.001,67.018,87.109,30.443,1.383,0.000,77.679,81.727,84.194
25Feb1990,84.818,0.011,79.062,84.504,21.188,0.000,78.667,0.060,0.000,34.729,0.000,68.655,87.494,31.027,1.582,0.000,77.737,82.519,84.362
26Feb1990,85.061,0.016,79.338,84.796,24.304,0.000,78.487,0.180,0.000,39.307,0.000,70.296,87.913,32.501,1.918,0.000,77.501,83.098,84.568
27Feb1990,85.330,0.026,79.595,85.062,20.018,0.000,78.512,0.398,0.000,41.997,0.000,69.770,88.209,33.814,2.175,0.000,77.419,83.532,84.813
28Feb1990,85.597,0.042,79.759,85.296,23.689,0.000,78.687,0.715,0.000,43.564,0.000,70.155,88.448,34.952,2.388,0.000,77.356,83.918,85.094
01Mar1990,85.862,0.085,79.982,85.459,20.855,0.000,79.106,1.437,0.000,48.256,0.000,70.699,88.695,36.383,2.771,0.000,77.846,84.267,85.304
02Mar1990,86.091,0.165,80.332,85.525,28.396,0.000,79.587,2.987,0.000,54.341,0.000,67.976,88.833,38.109,3.176,0.000,78.595,84.701,85.623
03Mar1990,86.173,0.233,80.674,85.499,19.857,0.000,80.058,4.259,0.000,56.828,0.000,61.674,88.847,39.520,3.361,0.000,78.922,85.176,85.820
04Mar1990,86.125,0.193,80.713,85.439,20.002,0.001,80.539,5.082,0.000,60.021,0.000,61.337,88.943,39.653,3.217,0.000,79.389,85.870,85.412
05Mar1990,86.074,0.109,80.921,85.407,20.199,0.000,80.956,5.185,0.000,60.524,0.000,57.233,88.823,39.878,2.809,0.000,79.671,85.783,85.630
06Mar1990,85.914,0.014,80.690,85.470,18.152,0.000,80.894,3.186,0.000,56.924,0.000,62.543,88.497,36.539,1.461,0.000,79.922,84.724,85.628
07Mar1990,85.803,0.005,80.526,85.542,28.798,0.000,80.930,4.013,0.000,61.361,0.000,68.321,88.241,35.165,1.311,0.000,80.189,81.430,85.496
08Mar1990,85.912,0.000,80.545,85.651,7.738,0.000,80.795,3.037,0.000,58.946,0.000,65.690,88.027,35.215,0.709,0.000,80.241,77.550,85.505
09Mar1990,86.024,0.000,80.721,85.860,15.223,0.000,80.525,2.637,0.000,56.882,0.000,66.320,88.003,32.954,0.469,0.000,80.154,77.140,85.633
10Mar1990,86.282,0.000,80.899,86.122,19.466,0.000,80.583,2.453,0.000,57.186,0.000,68.398,88.293,31.270,0.402,0.000,79.828,79.040,85.564
11Mar1990,86.582,0.000,81.095,86.393,14.807,0.000,80.422,1.982,0.000,55.595,0.000,64.072,88.328,30.897,0.256,0.000,79.696,80.885,85.851
12Mar1990,86.780,0.000,81.161,86.675,12.320,0.000,79.913,1.359,0.000,51.273,0.000,63.581,88.115,29.119,0.136,0.000,79.287,82.052,86.201
13Mar1990,86.931,0.000,81.242,86.959,9.451,0.000,79.520,0.921,0.000,46.550,0.000,65.622,87.917,26.496,0.079,0.000,78.643,82.379,86.396
14Mar1990,87.180,0.000,81.308,87.216,12.071,0.000,79.045,0.985,0.000,46.913,0.000,70.556,88.278,25.033,0.097,0.000,78.525,81.726,86.657
15Mar1990,87.420,0.000,81.342,87.432,9.892,0.000,78.457,1.201,0.000,49.212,0.000,69.117,88.699,23.749,0.083,0.000,78.259,81.343,86.935
16Mar1990,87.649,0.000,81.303,87.565,11.835,0.000,78.098,1.990,0.000,54.153,0.000,66.092,89.159,23.528,0.102,0.000,77.644,81.869,87.254
17Mar1990,87.821,0.000,81.186,87.609,11.422,0.000,78.046,3.150,0.000,58.040,0.000,62.381,89.479,23.541,0.111,0.000,77.506,82.997,87.500
18Mar1990,87.898,0.000,81.017,87.602,9.026,0.000,78.247,4.960,0.000,61.533,0.000,57.757,89.610,23.923,0.126,0.000,77.679,83.766,87.610
19Mar1990,87.903,0.000,80.998,87.603,5.013,0.000,78.706,6.196,0.000,62.773,0.000,56.741,89.653,23.031,0.102,0.000,77.967,83.864,87.647
20Mar1990,87.891,0.000,80.913,87.635,7.552,0.000,78.938,5.929,0.000,62.504,0.000,60.022,89.678,21.937,0.063,0.000,78.293,83.645,87.651
21Mar1990,87.893,0.000,81.057,87.652,14.330,0.000,78.986,6.750,0.000,64.249,0.000,63.382,89.808,20.634,0.092,0.000,78.554,83.197,87.661
22Mar1990,87.911,0.000,81.237,87.597,18.821,0.000,79.127,8.439,0.000,66.221,0.000,66.216,89.817,21.425,0.140,0.000,78.751,82.854,87.681
23Mar1990,87.870,0.000,81.262,87.531,13.334,0.000,79.268,7.874,0.000,64.787,0.000,69.036,89.565,22.830,0.115,0.000,78.745,82.511,87.629
24Mar1990,87.760,0.000,81.323,87.493,17.412,0.000,79.312,7.891,0.000,64.446,0.000,73.106,89.508,22.798,0.130,0.000,78.842,81.354,87.540
25Mar1990,87.718,0.000,81.522,87.435,20.718,0.000,79.670,8.362,0.000,64.594,0.000,74.151,89.422,24.420,0.163,0.000,79.064,80.087,87.443
26Mar1990,87.655,0.000,81.655,87.381,19.270,0.000,79.899,7.921,0.000,63.626,0.000,72.805,89.183,25.297,0.177,0.000,79.100,79.283,87.370
27Mar1990,87.576,0.000,81.759,87.290,23.960,0.000,80.014,9.395,0.000,65.102,0.000,72.824,89.203,26.142,0.274,0.000,79.265,79.033,87.312
28Mar1990,87.492,0.001,81.869,87.022,26.638,0.000,80.436,12.889,0.000,68.103,0.000,70.762,89.093,29.193,0.424,0.000,79.609,79.844,87.252
29Mar1990,87.261,0.002,81.716,86.632,29.041,0.000,80.674,12.958,0.000,68.672,0.000,63.977,88.854,31.607,0.501,0.000,79.885,80.820,87.110
30Mar1990,86.906,0.006,81.803,86.203,24.784,0.000,81.011,13.269,0.000,69.033,0.000,63.592,88.688,33.604,0.582,0.000,80.094,81.593,86.834
31Mar1990,86.548,0.009,81.910,85.792,27.018,0.000,81.209,13.959,0.000,69.385,0.000,62.617,88.582,35.243,0.648,0.000,80.396,82.343,86.483
01Apr1990,86.292,0.014,81.933,85.480,27.318,0.000,81.357,16.660,0.000,71.165,0.000,63.331,88.560,36.225,0.748,0.000,80.836,83.102,86.204
02Apr1990,86.096,0.015,81.610,85.335,28.322,0.000,81.440,19.803,0.000,73.092,0.000,63.019,88.598,36.583,0.814,0.000,81.010,83.878,86.009
03Apr1990,86.014,0.014,81.721,85.322,24.123,0.000,81.433,22.701,0.000,74.682,0.000,66.768,88.891,36.283,0.868,0.000,81.099,84.445,85.877
04Apr1990,86.096,0.028,81.717,85.324,30.558,0.000,81.371,32.376,0.000,77.664,0.000,69.483,89.346,37.455,1.161,0.000,81.192,84.822,85.862
